,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
0,2017-01-01,99.9,549252.28,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
1,2017-01-01,99.95,50795.46,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
2,2017-01-01,100.0,1496.08,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
3,2017-01-02,99.95,58286.36,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
4,2017-01-02,100.0,2985.04,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
5,2017-01-02,99.9,552864.33,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
6,2017-01-03,99.9,570687.46,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
7,2017-01-03,99.85,66310.98,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
8,2017-01-03,99.9,5696.14,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
9,2017-01-04,99.85,4966.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
10,2017-01-04,99.9,57103.72,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
11,2017-01-04,99.9,420576.26,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
12,2017-01-05,99.9,412892.47,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
13,2017-01-05,99.8,4625.54,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
14,2017-01-05,99.9,54712.38,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
15,2017-01-06,99.6,4030.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
16,2017-01-06,99.9,55485.87,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
17,2017-01-06,99.9,409887.0,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
18,2017-01-07,99.9,400209.91,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
19,2017-01-07,100.0,2067.52,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
20,2017-01-07,99.9,48467.34,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
21,2017-01-08,99.85,41639.49,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
22,2017-01-08,99.85,1785.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
23,2017-01-08,99.9,289667.2,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
24,2017-01-09,99.9,389593.4,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
25,2017-01-09,99.9,4335.76,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
26,2017-01-09,99.75,51936.74,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
27,2017-01-10,99.85,54201.17,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
28,2017-01-10,100.0,4787.7,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
29,2017-01-10,99.9,427433.24,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
30,2017-01-11,99.9,431409.73,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
31,2017-01-11,100.0,4813.46,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
32,2017-01-11,99.8,54493.38,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
33,2017-01-12,99.8,62157.82,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
34,2017-01-12,99.8,5395.76,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
35,2017-01-12,99.8,548240.95,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
36,2017-01-13,99.9,510985.27,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
37,2017-01-13,100.0,4313.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
38,2017-01-13,99.85,62259.4,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
39,2017-01-14,100.0,2215.92,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
